temp,flour,replicate,ID,a,b,K
27.5,B,1,27.5_B_1,1.0380572796270402,0.7930412394461337,5.01576873020004
27.5,B,2,27.5_B_2,1.2338176145660869,0.7346096254791566,4.649066933168613
27.5,B,3,27.5_B_3,1.2327732322773377,0.7346830413199831,4.646417019140162
27.5,G,1,27.5_G_1,1.125996951579457,0.768279895215915,4.859297610920089
27.5,G,2,27.5_G_2,1.0884223442769583,0.7785005374298647,4.913882551441052
27.5,G,3,27.5_G_3,1.1997839722539068,0.7516140951960106,4.830322289023209
27.5,VG,1,27.5_VG_1,1.130439064297678,0.7772266424995974,5.074390748434247
27.5,VG,2,27.5_VG_2,1.331850272498365,0.736203704281832,5.04878307283463
27.5,VG,3,27.5_VG_3,1.2936015649884307,0.7467652107510167,5.10830904720815
30,B,1,30_B_1,1.3234184219736111,0.7260784599539503,4.83137770673722
30,B,2,30_B_2,1.4283889372289171,0.700749157656904,4.773216095382769
30,B,3,30_B_3,1.0405519529807326,0.7882413631780368,4.913858384230062
30,G,1,30_G_1,1.3667904246616767,0.723734698105655,4.947383602970136
30,G,2,30_G_2,1.3026777805408716,0.7274535420038971,4.779654045474692
30,G,3,30_G_3,1.0972879079443663,0.7862439352638175,5.13336503129695
30,VG,1,30_VG_1,1.7221380593678544,0.6615557933855203,5.088395740599969
30,VG,2,30_VG_2,1.8313427598845833,0.6337956043471451,5.0008759633257185
30,VG,3,30_VG_3,1.8312787456408564,0.6435734429041294,5.1378852366163175
32.5,B,1,32.5_B_1,1.532422665656585,0.6514915043325928,4.397088405899365
32.5,B,2,32.5_B_2,1.5356227261506947,0.6818895640277683,4.827325835625027
32.5,B,3,32.5_B_3,1.5214765842009932,0.6665817663608911,4.563267484188749
32.5,G,1,32.5_G_1,1.4303098161644392,0.7105711245235606,4.941835239521124
32.5,G,2,32.5_G_2,1.4312170928022947,0.704787582269472,4.84809244748207
32.5,G,3,32.5_G_3,1.709408855731765,0.6477867261904058,4.853334564147824
32.5,VG,1,32.5_VG_1,1.7566810873169407,0.6645778069116388,5.237223783979534
32.5,VG,2,32.5_VG_2,1.7950428601486155,0.6305509201488596,4.85870166701154
32.5,VG,3,32.5_VG_3,1.8611644401795828,0.6289078318898383,5.015369765570157
35,B,1,35_B_1,1.1164459891498482,0.7359936960153816,4.228861100282267
35,B,2,35_B_2,1.6788075608818844,0.5936250717505582,4.131178978274456
35,B,3,35_B_3,1.4173999855173633,0.6772440770938443,4.391553756023512
35,G,1,35_G_1,1.5495797172776244,0.6127558510474236,4.001557470833195
35,G,2,35_G_2,1.1371649147807992,0.7610873238806157,4.759751275033057
35,G,3,35_G_3,1.2146721910075997,0.7276476177568106,4.4599286446593025
35,VG,1,35_VG_1,1.461062872812678,0.6892572888033851,4.701841170099806
35,VG,2,35_VG_2,1.5688849409250611,0.6622201142066082,4.644696167268804
35,VG,3,35_VG_3,1.6175476830375242,0.6186004139393362,4.241084002593133
