count,temp,flour,replicate,live,dead
6,35,B,2,35,0
6,35,B,3,66,0
6,35,G,1,61,0
6,35,G,2,72,4
6,35,G,3,56,2
6,35,VG,1,78,0
6,35,VG,2,71,1
6,35,VG,3,59,0
7,27.5,B,1,83,0
7,27.5,B,2,78,0
7,27.5,B,3,84,0
7,27.5,G,1,90,0
7,27.5,G,2,94,0
7,27.5,G,3,97,0
7,27.5,VG,1,92,0
7,27.5,VG,2,99,2
7,27.5,VG,3,98,0
7,30,B,1,94,0
7,30,B,2,80,0
7,30,B,3,78,0
7,30,G,1,100,0
7,30,G,2,80,1
7,30,G,3,105,0
7,30,VG,1,125,0
7,30,VG,2,135,0
7,30,VG,3,152,5
7,32.5,B,1,74,1
7,32.5,B,2,102,2
7,32.5,B,3,77,0
7,32.5,G,1,91,0
7,32.5,G,2,83,0
7,32.5,G,3,111,0
7,32.5,VG,1,160,1
7,32.5,VG,2,116,0
7,32.5,VG,3,108,0
7,35,B,1,49,0
7,35,B,2,72,1
7,35,B,3,74,2
7,35,G,1,61,0
7,35,G,2,75,0
7,35,G,3,66,2
7,35,VG,1,85,1
7,35,VG,2,84,2
7,35,VG,3,75,2
8,27.5,B,1,115,0
8,27.5,B,2,79,0
8,27.5,B,3,93,0
8,27.5,G,1,114,0
8,27.5,G,2,108,0
8,27.5,G,3,111,0
8,27.5,VG,1,118,0
8,27.5,VG,2,127,0
8,27.5,VG,3,141,0
8,30,B,1,93,0
8,30,B,2,91,0
8,30,B,3,80,0
8,30,G,1,90,0
8,30,G,2,82,0
8,30,G,3,102,0
8,30,VG,1,124,0
8,30,VG,2,125,1
8,30,VG,3,141,0
8,32.5,B,1,71,0
8,32.5,B,2,89,1
8,32.5,B,3,90,0
8,32.5,G,1,119,0
8,32.5,G,2,102,0
8,32.5,G,3,98,0
8,32.5,VG,1,156,0
8,32.5,VG,2,119,0
8,32.5,VG,3,116,0
8,35,B,1,59,0
8,35,B,2,70,0
8,35,B,3,69,0
8,35,G,1,65,0
8,35,G,2,76,0
8,35,G,3,71,0
8,35,VG,1,94,7
8,35,VG,2,83,1
8,35,VG,3,59,0
